Full Name,Phone Number,Age,Gender,Services Offered,Years of Experience,Work Shifts
Nguyen Van A,0123456789,35,Male,Haircut;Shaving;Beard Trim,10,A2;B4;C6
Tran Thi B,0987654321,28,Female,Haircut;Hair Wash;Hair Styling,6,A3;B5;C7
Le Van C,0112233445,40,Male,Haircut;Shaving;Beard Trim;Haircut & Shaving,15,A2;B3;C8
Pham Thi D,0223344556,30,Female,Haircut;Hair Coloring;Haircut & Hair Coloring,8,A4;B6;C8
Hoang Van E,0334455667,29,Male,Haircut;Hair Wash;Shaving;Haircut & Hair Wash,7,A2;C5;B7
Vu Thi F,0445566778,32,Female,Haircut;Hair Styling;Haircut & Hair Styling,9,A3;B5;C6
Nguyen Van G,0556677889,27,Male,Haircut;Beard Trim;Haircut & Shaving,5,B2;C4;A7
Tran Van H,0667788990,38,Male,Haircut;Shaving;Hair Coloring,12,A3;C6;B8
Nguyen Thi I,0778899001,31,Female,Haircut;Hair Wash;Hair Coloring;Haircut & Hair Coloring,7,A4;B5;C7
Le Thi J,0889900112,26,Female,Haircut;Hair Styling;Haircut & Hair Styling,4,B3;C5;A8
Hoang Van K,0990011223,29,Male,Haircut;Shaving;Hair Wash;Haircut & Hair Wash,6,A2;B6;C8
Vu Thi L,0101122334,34,Female,Haircut;Hair Coloring;Hair Styling;Haircut & Hair Coloring,10,A3;B5;C7
Pham Van M,0112233445,33,Male,Haircut;Beard Trim;Shaving;Haircut & Shaving,8,A4;B6;C8
Nguyen Van N,0123344556,30,Male,Haircut;Shaving;Beard Trim;Haircut & Shaving,9,A2;C4;B7
Le Van O,0134455667,29,Male,Haircut;Hair Wash;Shaving;Haircut & Hair Wash,6,A3;C5;B7
