Full Name,Phone Number,Age,Gender,Loyalty Level
Tran Van P,0125566778,25,Male,3
Le Thi Q,0988654321,30,Female,2
Nguyen Van R,0335678990,40,Male,4
Pham Thi S,0112245566,28,Female,1
Hoang Van T,0996677888,35,Male,2
Vu Thi U,0223345567,29,Female,3
Tran Van V,0667788991,32,Male,4
Nguyen Thi W,0778899222,27,Female,1
Le Van X,0889900234,38,Male,3
Pham Van Y,0556677885,31,Male,2
Hoang Thi Z,0101122445,26,Female,1
Nguyen Thi AA,0112233345,34,Female,4
Vu Van BB,0445566789,36,Male,2
Tran Thi CC,0334455669,29,Female,3
Le Van DD,0667788992,39,Male,4
Nguyen Thi EE,0991122334,33,Female,1
Pham Van FF,0778899223,27,Male,2
Tran Thi GG,0889900345,26,Female,4
Hoang Van HH,0667788993,29,Male,3
Le Thi II,0112245567,30,Female,2
Vu Van JJ,0223345678,40,Male,1
Nguyen Van KK,0335679001,28,Male,2
Pham Thi LL,0125566889,35,Female,3
Tran Van MM,0996677999,31,Male,4
Le Van NN,0445566790,37,Male,1
Hoang Thi OO,0889900113,29,Female,2
Vu Thi PP,0778899334,33,Female,3
Nguyen Van QQ,0556677996,28,Male,4
Tran Thi RR,0101122456,26,Female,1
Pham Van SS,0112233456,38,Male,2
Le Van TT,0991122445,34,Male,3
Hoang Van UU,0667789004,32,Male,4
Nguyen Thi VV,0223346789,29,Female,1
Tran Van WW,0334455779,40,Male,2
Vu Thi XX,0112245678,27,Female,3
Pham Thi YY,0445566890,35,Female,4
Hoang Van ZZ,0778899445,30,Male,1
Nguyen Van AAA,0996678000,28,Male,2
Tran Thi BBB,0335679112,31,Female,3
Vu Van CCC,0556678007,39,Male,4
Nguyen Thi DDD,0101122567,26,Female,1
Hoang Van EEE,0125566990,40,Male,2
Le Thi FFF,0223347890,27,Female,3
Pham Van GGG,0335679223,35,Male,4
Tran Thi HHH,0445567001,29,Female,1
Nguyen Van III,0667789115,32,Male,2
Vu Thi JJJ,0778899556,34,Female,3
Le Van KKK,0889900456,28,Male,4
